Part,Amount,Total price in EUR,Link
Switches,10,3.43,https://allegro.sk/ponuka/rk-blue-switch-spinace-10ks-pre-mechanicku-klavesnicu-16552527243
Screen,1,7.95,"https://www.aliexpress.com/item/1005008920033631.html?spm=a2g0o.productlist.main.2.3489t4Cpt4CpWR&algo_pvid=5ffe0568-dc35-41fc-9da3-766cbe7676c0&algo_exp_id=5ffe0568-dc35-41fc-9da3-766cbe7676c0-1&pdp_ext_f=%7B""order""%3A""857""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%213.93%217.82%21%21%2129.82%2159.35%21%400b0fed2b17836343197536602e0dfe%2112000047208080122%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaabb3507%3Bm03_new_user%3A-29895&curPageLogUid=9cGbKUHUbxyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008920033631%7C_p_origin_prod%3A"
Esp32,1,4.67,https://allegro.sk/ponuka/modul-esp32-c3-super-mini-rozvojova-doska-wi-fi-ble-5-0-18699708829
Mosfet,1,1.16,https://allegro.sk/produkt/tranzistor-mosfet-irlz44n-n-kanal-55v-47a-puzdro-to-220-bcd137be-22e5-485c-af6f-4f561306e70e?offerId=17728059299
Car horn,2,5.31,https://allegro.sk/ponuka/hlasny-klakson-12v-2-ks-fanfara-18050785027
Buzzer,1,0.69,https://allegro.sk/ponuka/buzzer-s-generatorom-3v-85db-buzzer-12065g-11305429979
Shipping for allegro,1,11.15,
Shipping + tax for aliexpress,1,1.99,
Total price in EUR,,36.35,
Total price in USD,,41.56 ??,
